Method	Functional Description
toString	不推荐使用，要删除：此API元素将在以后的版本中删除。
removeNotify	重写JComponent的removeNotify以取消注册这个菜单栏与当前键盘管理器的注册
getColumnNumber	此定位器指向的列号，如果没有可用的列号， 
               -1 。
isSoundbankSupported	通知呼叫者该合成器是否能够从指定的音库加载乐器。
item	返回集合中的 
               index项。
getVersion	获得声音库的版本字符串。
hasBeenExpanded	如果路径标识的节点曾经被展开，则返回true
getSupportsWindowDecorations	如果返回的根面板UI实例支持在JRootPane中提供窗口装饰，则返回true
getAnnotatedOwnerType	如果此类型表示嵌套类型，则返回此类型所属的潜在注释类型。
getEnclosingElement	返回最内层的元素，松散地说，这个元素是封闭的。
read	重写过滤输入流读取以在读取后更新进度监视器
icSigColorSpaceClass	ICC配置文件类签名：'spac'。
openFrame	如果可能，请在适当的位置显示此框架。
getObject	返回表示OUT参数 
               parameterIndex的值的对象，并使用 
               map作为参数值的自定义映射。
setRowHeader	移除旧的行头（如果存在）；如果新的行头不为null，与视口的y坐标同步（如果有的话），然后将其添加到滚动面板中
getSupportedDocFlavors	确定客户端在为此 
               PrintService设置作业时可以指定的打印数据格式。
getImplementation	处理此文档的 
               DOMImplementation对象。
addTreeSelectionListener	这被重写为不做任何事情；空选择模型不允许选择
isEmpty	如果此属性集不包含任何属性，则返回 
               true 。
hashCode	返回此批注的哈希码，如下所示：
getControl	返回 
               ResourceBundle.Control实例，该实例用于处理给定 
               baseName资源包加载。
item	返回地图中的 
               index项。
getInterfaces	返回由此类直接实现或由此接口扩展的接口类型。
getAccessibleIconHeight	获取图标的高度。
getParams	返回与此键关联的域参数。
getFileName	返回包含此堆栈帧表示的执行点的源文件的名称。
isBefore	检查此日期时间是否在指定的日期时间之前，忽略年表。
getRowsForPaths	返回显示 
               path中的TreePath实例的行。
createValue	创建从 
               UIDefaults表中检索的值。
sorterChanged	RowSorter发生变化的通知。
setSurrendersFocusOnKeystroke	设置当编辑器由于表转发键盘事件到单元格而被激活时，编辑器是否获取键盘焦点
getQualifiedName	返回元素的完全限定名称。
handleQuitRequestWith	在要求退出应用程序时调用。
between	计算两个临时对象之间的时间量。
isEqual	检查此日期时间是否等于指定的日期时间，忽略年表。
put	相对批量 
               放置方法 
               （可选操作） 。
getActionCommand	返回按钮的操作命令字符串。
