Functional Description,Method Name
initialize autoscrolling   ,initializeAutoscrolling
instantiate a bean   ,instantiate
writes a byte   ,write
add a service   ,addService
"if the number of arguments in the specified constructor is non - zero and the class of old instance explicitly declares an "" equals "" method this method returns the value of old instance equalsnew instance   ",mutatesTo
validates this component   ,validate
returns whether the representation class for this data flavor is java nio char buffer or a subclass thereof   ,isRepresentationClassCharBuffer
dispatches an event   ,dispatchEvent
"deprecated as of jdk version 1 1 , replaced by is multiple mode   ",allowsMultipleSelections
this method instructs the bean that it is ok to use the gui   ,okToUseGui
dispatches an event to the active input method   ,dispatchEvent
"bean context services listener callback , propagates event to all currently registered listeners and bean context services children , if this bean context service does not already implement this service itself   ",serviceAvailable
"deprecated as of jdk version 1 1 , replaced by get selected checkbox   ",getCurrent
removes a tile observer   ,removeTileObserver
checks if this window is showing on screen   ,isShowing
subclasses may implement this method to allow class data to be stored in the stream   ,annotateClass
returns the hashcode for this menu shortcut   ,hashCode
add a property change listener to the listener list   ,addPropertyChangeListener
removes the specified component from this layout   ,removeLayoutComponent
checks out a tile for writing   ,getWritableTile
removes an item listener   ,removeItemListener
"deprecated as of jdk version 1 1 , replaced by get visible amount   ",getVisible
notify the component to autoscroll   ,autoscroll
clones this object   ,clone
updates this canvas   ,update
returns the hit on the opposite side of the specified hit ' s caret   ,getVisualOtherHit
removes the specified window listener so that it no longer receives window events from this window   ,removeWindowListener
"deprecated as of jdk version 1 1 , replaced by transfer focus   ",nextFocus
"analagous to java lang class loader get resource as stream , this method allows a bean context implementation to interpose behavior between the child component and underlying class loader   ",getResourceAsStream
"deprecated as of jdk version 1 1 , replaced by get clip bounds   ",getClipRect
resolves instances being deserialized into instances registered with cmm   ,readResolve
"deprecated as of jdk version 1 1 , not for public use in the future this method is expected to be retained only as a package private method   ",delItems
"deprecated as of jdk version 1 1 , replaced by set selected checkbox checkbox   ",setCurrent
gets the bean context services listener if any of the specified child   ,getChildBeanContextServicesListener
returns whether the representation class for this data flavor is java nio byte buffer or a subclass thereof   ,isRepresentationClassByteBuffer
write a portion of a string to the buffer   ,write
converts this font object to a string representation   ,toString
returns the device configuration associated with this graphics2d   ,getDeviceConfiguration
gets the singleton instance of the system clipboard which interfaces with clipboard facilities provided by the native platform   ,getSystemClipboard
this method is called by the current keyboard focus manager requesting that this key event dispatcher dispatch the specified event on its behalf   ,dispatchKeyEvent
enables or disables input method support for this component   ,enableInputMethods
returns the number of milliseconds this robot sleeps after generating an event   ,getAutoDelay
this method is called by the awt event dispatcher requesting that the current keyboard focus manager dispatch the specified event on its behalf   ,dispatchEvent
removes the specified window state listener so that it no longer receives window events from this window   ,removeWindowStateListener
the set properties method is part of the image consumer api which this class must implement to retrieve the pixels   ,setProperties
dispatches the event to the input method   ,dispatchEvent
removes a bean context membership listener   ,removeBeanContextMembershipListener
"bean context services listener callback , propagates event to all currently registered listeners and bean context services children , if this bean context service does not already implement this service itself   ",serviceRevoked
updates the container   ,update
"this method returns a graphics2d , but is here for backwards compatibility   ",getGraphics
adds a tile observer   ,addTileObserver
"deprecated as of jdk version 1 1 , replaced by component get cursor   ",getCursorType
gets the bean context membership listener if any of the specified child   ,getChildBeanContextMembershipListener
add a bean context services listener   ,addBeanContextServicesListener
sets the exception handler for this stream to exception listener   ,setExceptionListener
"deprecated as of jdk version 1 1 , replaced by replace range string , int , int   ",replaceText
sets the owner ' s or everybody ' s execute permission for this abstract pathname   ,setExecutable
remove a property change listener from the listener list   ,removePropertyChangeListener
determines if an image consumer is on the list of consumers currently interested in data for this image   ,isConsumer
deprecated see java awt graphics environment # get all fonts   ,getFontPeer
chooses one of the specified text hit info instances as a strong caret in the specified text layout   ,getStrongCaret
gets the index of the item that was last made visible by the method make visible   ,getVisibleIndex
cancels a print job that is in progress   ,cancel
release a service   ,releaseService
removes the specified component from this border layout   ,removeLayoutComponent
removes the specified item listener so that it no longer receives item events from this choice menu   ,removeItemListener
"deprecated this method does not properly convert bytes into characters as of jdk 1 1 , the preferred way to do this is via the to string string enc method , which takes an encoding - name argument , or the to string method , which uses the platform ' s default character encoding   ",toString
a new service is available from the nesting bean context   ,serviceAvailable
"deprecated as of jdk version 1 1 , replaced by get unit increment   ",getLineIncrement
creates a new handler for sax parser that can be used to parse embedded xml archives created by the xml encoder class   ,createHandler
repaints the specified rectangle of this component within tm milliseconds   ,repaint
updates this component   ,update
writes a boolean value to this output stream   ,writeBoolean
removes a listener for the value change   ,removePropertyChangeListener
writes a portion of a string   ,write
"returns the family name of this font , localized for the specified locale   ",getFamily
get the accessible text associated with this object   ,getAccessibleText
"returns the number of accessible actions available in this object if there are more than one , the first one is considered the "" default "" action of the object   ",getAccessibleActionCount
remove a bean context services listener   ,removeBeanContextServicesListener
subclasses may implement this method to store custom data in the stream along with descriptors for dynamic proxy classes   ,annotateProxyClass
fire a bean contextship event on the bean context membership listener interface   ,fireChildrenRemoved
enables or disables input method support for this text component   ,enableInputMethods
determines whether or not the specified object is equal to this round rectangle2d   ,equals
a convenience method to set the owner ' s execute permission for this abstract pathname   ,setExecutable
"activate , and / or mark applet active   ",activate
creates a glyph vector by mapping the specified characters to glyphs one - to - one based on the unicode cmap in this font   ,createGlyphVector
returns any throwable caught while executing the runnable ' s run method   ,getThrowable
removes an adjustment listener   ,removeAdjustmentListener
enable the stream to allow objects read from the stream to be replaced   ,enableResolveObject
"deprecated as of jdk version 1 1 , replaced by set echo charchar   ",setEchoCharacter
returns true if this is a component glyph   ,isComponent
gets a rendered image instance of this image with a default width and height in pixels   ,createDefaultRendering
returns whether this window is active   ,isActive
