Functional Description,Method Name
returns the user - visible name of the corresponding input method for the given input locale in the language in which the name will be displayed   ,getInputMethodDisplayName
"returns the active window , even if the calling thread is in a different context than the active window   ",getGlobalActiveWindow
lays out the specified container using this layout   ,layoutContainer
removes a property change listener from the listener list for a specific property   ,removePropertyChangeListener
removes the specified child of the object from the object ' s selection   ,removeAccessibleSelection
associates the specified persistence delegate with the given type   ,setPersistenceDelegate
"returns the number of "" clicks "" the mouse wheel was rotated , as an integer   ",getWheelRotation
sets the visible amount of this scroll bar   ,setVisibleAmount
specifies the maximum value the user can specify as the last page to be printed for jobs using these attributes   ,getMaxPage
returns the clone of page with its settings adjusted to be compatible with the current printer of this printer job   ,validatePage
sets the alignment for this label to the specified alignment   ,setAlignment
returns a set of default focus traversal keys for a given traversal operation   ,getDefaultFocusTraversalKeys
"if wheel scrolling is enabled , we return true for mouse wheel events   ",eventTypeEnabled
read the non - static and non - transient fields of the current class from this stream   ,defaultReadObject
"deprecated this method does not properly convert bytes to characters as of jdk 1 1 , the preferred way to read lines of text is via the buffered reader read line method programs that use the data input stream class to read lines can be converted to use the buffered reader class by replacing code of the form : data input stream d = new data input streamin ; with : buffered reader d = new buffered readernew input stream readerin ;   ",readLine
returns the resolution of the page in pixels per inch   ,getPageResolution
"converts the double argument to a long using the double to long bits method in class double , and then writes that long value to the underlying output stream as an 8 - byte quantity , high byte first   ",writeDouble
writes characters to the buffer   ,write
gets the state of this frame   ,getExtendedState
sets the location of the end points and control points of this quad curve2d to the coordinates of the point2d objects at the specified offset in the specified array   ,setCurve
reads a 64 bit double   ,readDouble
creates a top - level swing jframe for use by the input method   ,createInputMethodJfRame
handles the mouse exited event by invoking the mouse exited methods on listener - a and listener - b   ,mouseExited
removes the specified adjustment listener so that it no longer receives adjustment events from this scroll pane adjustable   ,removeAdjustmentListener
this method initiates a focus traversal operation if and only if the key event represents a focus traversal key for the specified focused component   ,processKeyEvent
register this drag gesture recognizer ' s listeners with the component subclasses must override this method   ,registerListeners
"determines whether this check box is in the "" on "" or "" off "" state   ",getState
gets the block value increment for the adjustable object   ,getBlockIncrement
relinquishes permission to write to a tile   ,releaseWritableTile
sets the location of the end points and control points of this curve to the same as those in the specified cubic curve2d   ,setCurve
"specifies , for jobs using these attributes , the first page to be printed , if a range of pages is to be printed   ",setFromPage
concatenates an affine transform tx to this affine transform cx in a less commonly used way such that tx modifies the coordinate transformation relative to the absolute pixel space rather than relative to the existing user space   ,preConcatenate
returns an array of all the objects currently registered as foo listeners upon this scrollbar   ,getListeners
returns an array of all the adjustment listeners registered on this scroll pane adjustable   ,getAdjustmentListeners
adds a property change listener to this bean context child in order to receive a property change event whenever the specified property has changed   ,addPropertyChangeListener
get the state of this object   ,getAccessibleStateSet
lays out the specified container using this card layout   ,layoutContainer
copies the array of alpha transparency components into the specified array   ,getAlphas
returns the parent raster if any of this raster or null   ,getParent
adds the specified key listener to receive key events from this component   ,addKeyListener
checks two file permission objects for equality   ,equals
reads a 32 bit int   ,readInt
returns the orientation of this scroll bar   ,getOrientation
returns the number of pages in the set   ,getNumberOfPages
"converts the components of a color , as specified by the hsb model , to an equivalent set of values for the default rgb model   ",hsbToRgb
returns an array of all the objects currently registered as foo listeners upon this list   ,getListeners
returns the pixel bounds of this text layout when rendered in a graphics with the given font render context at the given location   ,getPixelBounds
gets the method used to remove event listeners   ,getRemoveListenerMethod
delivers the pixels of the image with one or more calls to this method   ,setPixels
returns the value of the named parameter in the html tag   ,getParameter
appends a subsequence of the specified character sequence to this output stream   ,append
removes the specified selected item in the object from the object ' s selection   ,removeAccessibleSelection
returns the persistence delegate for the given type   ,getPersistenceDelegate
returns the ascent of this image graphic attribute   ,getAscent
invoked when the value of the text has changed   ,textValueChanged
returns the extended modifier mask for this event   ,getModifiersEx
retrieve the object used to buffer persistent fields to be written to the stream   ,putFields
sets the stroke for the graphics2d context   ,setStroke
"returns , for jobs using these attributes , the first page to be printed , if a range of pages is to be printed   ",getFromPage
"checks if this file permission object "" implies "" the specified permission   ",implies
"creates a writable raster with the specified width and height , that has a data layout sample model compatible with this color model   ",createCompatibleWritableRaster
returns an accessible representing the specified selected item in the object   ,getAccessibleSelection
convert a location relative to the path to a point in user coordinates   ,pathToPoint
returns whether the list of available locales can change at runtime   ,hasDynamicLocaleList
causes runnable to have its run method called in the dispatch thread of the system event queue   ,invokeLater
invoked the first time a window is made visible   ,windowOpened
used to indicate whether of not we are running in an application builder environment   ,setDesignTime
appends the specified character sequence to this output stream   ,append
change the list of package names that will be used for finding property editors   ,setEditorSearchPath
"writes an int to the underlying output stream as four bytes , high byte first   ",writeInt
"deprecated as of jdk version 1 1 , replaced by process focus event focus event   ",gotFocus
report that we have been modified to any interested listeners   ,firePropertyChange
gets a graphics object that will draw to the next page   ,getGraphics
notifies the peer that the transferable ' s data flavors have changed   ,transferablesFlavorsChanged
returns the color / alpha components for the specified pixel in the default rgb color model format   ,getRgb
reads an unsigned 16 bit short   ,readUnsignedShort
determines if a specified image consumer object is currently registered with this image producer as one of its consumers   ,isConsumer
"renders the text of the specified string , using the current text attribute state in the graphics2d context   ",drawString
indicates whether this dialog is resizable by the user   ,isResizable
returns the number of mouse clicks associated with this event   ,getClickCount
a lightweight component doesn ' t have a native toolkit peer   ,isLightweight
returns the index of a transparent pixel in this index color model or - 1 if there is no pixel with an alpha value of 0   ,getTransparentPixel
"translates the origin of the graphics2d context to the point x , y in the current coordinate system   ",translate
determines whether two job attributes are equal to each other   ,equals
invoked when a window is changed from a minimized to a normal state   ,windowDeiconified
returns the attribute set for a given character at a given index   ,getCharacterAttribute
"returns the pathname string of this abstract pathname ' s parent , or null if this pathname does not name a parent directory   ",getParent
returns the type of this transparency   ,getTransparency
returns an int representing the action selected by the user   ,getDragAction
removes the specified image from this media tracker   ,removeImage
override the dimensions of the source image and pass the dimensions of the new scaled size to the image consumer   ,setDimensions
retrieves the language - sensitive orientation that is to be used to order the elements or text within this component   ,getComponentOrientation
a convenience method which displays a cross - platform print dialog for all services which are capable of printing 2d graphics using the pageable interface   ,printDialog
"returns whether , for jobs using these attributes , the user should see a print dialog in which to modify the print settings , and which type of print dialog should be displayed   ",getDialog
returns the tile height in pixels   ,getTileHeight
sets the filename filter for this file dialog window to the specified filter   ,setFilenameFilter
constructs an instance of a property editor using the current property editor class   ,createPropertyEditor
returns an extended key code for the event   ,getExtendedKeyCode
returns the first component in the traversal cycle   ,getFirstComponent
returns the type of the window   ,getType
returns the transparency mode for this paint object   ,getTransparency
creates the peer for the list   ,addNotify
returns the transfer type used to transfer pixels via the get data elements and set data elements methods   ,getTransferType
returns the line metrics object for the specified string in the specified graphics context   ,getLineMetrics
returns the hash code of this text layout   ,hashCode
appends the specified character to this output stream   ,append
remove a listener for the property change event   ,removePropertyChangeListener
"renders a renderable image , applying a transform from image space into user space before drawing   ",drawRenderableImage
indicates a preference for locale - specific fonts in the mapping of logical fonts to physical fonts   ,preferLocaleFonts
appends the specified character sequence to this writer   ,append
creates a new strategy for multi - buffering on this component   ,createBufferStrategy
handles the hierarchy changed event by invoking the hierarchy changed methods on listener - a and listener - b   ,hierarchyChanged
returns the absolute form of this abstract pathname   ,getAbsoluteFile
adds a key event dispatcher to this keyboard focus manager ' s dispatcher chain   ,addKeyEventDispatcher
draws as much of the specified image as is currently available   ,drawImage
transforms a color value assumed to be in this color space into the cs ciexyz conversion color space   ,toCiexyz
get the object stream class that describes the fields in the stream   ,getObjectStreamClass
sets the location of the end points and control points of this curve to the double coordinates at the specified offset in the specified array   ,setCurve
determines this file dialog ' s filename filter   ,getFilenameFilter
"introspect on a java bean and learn about all its properties , exposed methods and events , below a given stop class point subject to some control flags   ",getBeanInfo
updates the text measurer after a single character has been inserted into the paragraph currently represented by this text measurer   ,insertChar
"returns an image which gets pixel data from the specified file , whose format can be either gif , jpeg or png   ",getImage
returns the line metrics object for the specified character array in the specified graphics context   ,getLineMetrics
read a line of text   ,readLine
sets the location of the end points and control points of this quad curve2d to the double coordinates at the specified offset in the specified array   ,setCurve
returns a string representing the state of this file dialog window   ,paramString
gets the url of the document in which this applet is embedded   ,getDocumentBase
returns the transparency mode for this gradient paint   ,getTransparency
returns the current value of the acceleration priority hint   ,getAccelerationPriority
returns a string representation of this page attributes   ,toString
invoked when the component ' s size changes   ,componentResized
lays out the container argument using this border layout   ,layoutContainer
called when the user has modified the drop gesture   ,dropActionChanged
"tests if a specified object is equal to this basic stroke by first testing if it is a basic stroke and then comparing its width , join , cap , miter limit , dash , and dash phase attributes with those of this basic stroke   ",equals
gets an enumeration of all menu shortcuts this menu bar is managing   ,shortcuts
this method is invoked by the drag gesture recognizer when the drag gesture recognizer detects a platform - dependent drag initiating gesture   ,dragGestureRecognized
invoked when a window is de - iconified   ,windowDeiconified
this method has the same behavior as equals object   ,equals
get the current line number   ,getLineNumber
returns the logical bounds of the specified array of characters in the specified font render context   ,getStringBounds
used by read object to deserialize a collection   ,deserialize
returns the owner of this window   ,getOwner
returns the ascent of this graphic attribute   ,getAscent
prints the value of this expression using a java - style syntax   ,toString
handles the component hidden event by invoking the component hidden methods on listener - a and listener - b   ,componentHidden
returns true if this is a whitespace glyph   ,isWhitespace
sets the rendering hints of this render context   ,setRenderingHints
returns the first event on the event queue without removing it   ,peekEvent
"if the color model object is the same one that has already been converted , then simply passes the pixels through with the converted color model   ",setPixels
indicates whether or not this font object ' s style is italic   ,isItalic
returns the value of a single preference for the rendering algorithms   ,getRenderingHint
presses one or more mouse buttons   ,mousePress
gets the currently selected text from the text editing component   ,getSelectedText
"create a compatible writable raster with the specified size , a new sample model , and a new initialized data buffer   ",createCompatibleWritableRaster
returns an array of all the action listeners registered on this menu item   ,getActionListeners
writes a boolean   ,writeBoolean
sets the sequence of images to be displayed as the icon for this window   ,setIconImages
"deprecated this method does not write the values contained by this put field object in a proper format , and may result in corruption of the serialization stream the correct way to write put field data is by calling the object output stream write fields method   ",write
returns a new shape representing a transformed version of this path2d   ,createTransformedShape
returns the index of the currently selected item   ,getSelectedIndex
returns the buffer strategy used by this component   ,getBufferStrategy
attempts to set the input locale   ,setLocale
starts production of the filtered image   ,startProduction
"returns the focused window , if the focused window is in the same context as the calling thread   ",getFocusedWindow
"clears the selection in the object , so that no children in the object are selected   ",clearAccessibleSelection
gets the preferred size of this text field with the specified number of columns   ,getPreferredSize
returns the requested data array element from the specified bank as a double   ,getElemDouble
returns whether or not the control modifier is down on this event   ,isControlDown
"deprecated as of jdk version 1 1 , replaced by process mouse event mouse event   ",mouseDown
invoked when the component has been made invisible   ,componentHidden
"calls drop action changed on the drag source listeners registered with this drag source context and with the associated drag source , and passes them the specified drag source drag event   ",dropActionChanged
attempts to restore the drawing surface of the image if the surface had been lost since the last validate call   ,validate
returns the command name of the action event fired by this tray icon   ,getActionCommand
a bean may have a default event typically applied when this bean is used   ,getDefaultEventIndex
"deprecated as of jdk version 1 1 , replaced by dispatch event awt event   ",postEvent
handles the key typed event by invoking the key typed methods on listener - a and listener - b   ,keyTyped
sets the number of copies the application should render for jobs using these attributes to the default   ,setCopiesToDefault
"sets the location , size , and corner radii of this round rectangle2d to the specified double values   ",setRoundRect
tests whether the file denoted by this abstract pathname is a normal file   ,isFile
gets the selected indexes on the list   ,getSelectedIndexes
returns the bank indices for all bands   ,getBankIndices
checks whether two dimension objects have equal values   ,equals
returns an array of all the mouse - motion listeners registered on this tray icon   ,getMouseMotionListeners
always returns true because all windows must be roots of a focus traversal cycle   ,isFocusCycleRoot
returns the name for each design axis   ,getDesignAxisNames
sets the mode of the file dialog   ,setMode
draws a sequence of connected lines defined by arrays of x and y coordinates   ,drawPolyline
returns an image that can be used to represent the bean in toolboxes or toolbars   ,getIcon
returns profile major version   ,getMajorVersion
returns the size of the splash screen window as a dimension   ,getSize
"determines the origin of the layout area , in the graphics coordinate space of the target container   ",getLayoutOrigin
reads a password or passphrase from the console with echoing disabled   ,readPassword
returns the value to which the specified key is mapped   ,get
invoked when the mouse button has been moved on a component with no buttons no down   ,mouseMoved
returns a list of media with the specified id that have encountered an error   ,getErrorsId
appends a subsequence of the specified character sequence to this writer   ,append
returns a string representation of this job attributes   ,toString
returns an array of all the objects currently registered as foo listeners upon this checkbox   ,getListeners
retrieves the flag bits describing the conversion properties of this transform   ,getType
get the accessible value associated with this object   ,getAccessibleValue
returns the originator of the event   ,getComponent
sets the directory of this file dialog window to be the specified directory   ,setDirectory
repaints this component   ,repaint
"returns the current focus cycle root , if the current focus cycle root is in the same context as the calling thread   ",getCurrentFocusCycleRoot
sets this graphics context ' s font to the specified font   ,setFont
returns an array of all the mouse wheel listeners registered on this component   ,getMouseWheelListeners
determines the minimum size of this scrolling list   ,getMinimumSize
remove a property change listener for a specific property   ,removePropertyChangeListener
deprecated as of jdk version 1 1 replaced by dispatch event awt event   ,postEvent
returns a unique instance of an image filter object which will actually perform the filtering for the specified image consumer   ,getFilterInstance
renders the text of the specified glyph vector using the graphics2d context ' s rendering attributes   ,drawGlyphVector
returns the object to which this event handler will send a message   ,getTarget
gets the accessible context associated with this checkbox   ,getAccessibleContext
"returns the blue color component for the specified pixel , scaled from 0 to 255 in the default rgb color space , srgb   ",getBlue
makes this window displayable by creating the connection to its native screen resource   ,addNotify
sets the title of the dialog   ,setTitle
creates a new font object by replicating this font object and applying a new style and transform   ,deriveFont
the image complete method is part of the image consumer api which this class must implement to retrieve the pixels   ,imageComplete
"removes the specified image with the specified width , height , and id from this media tracker   ",removeImage
changes the splash screen image   ,setImageUrl
returns an array of all the key listeners registered on this component   ,getKeyListeners
shows or hides this dialog depending on the value of parameter b   ,setVisible
specifies the maximum value the user can specify as the last page to be printed for jobs using these attributes   ,setMaxPage
returns the scanline stride of this single pixel packed sample model   ,getScanlineStride
"returns true if the specified object is an instance of numeric shaper and shapes identically to this one , regardless of the range representations , the bit mask or the enum   ",equals
"translates this point , at location x , y , by dx along the x axis and dy along the y axis so that it now represents the point x+dx , y+dy   ",translate
determines whether this bean is avoiding using a gui   ,avoidingGui
clears the list of source images   ,removeSources
obtain a service which may be delegated   ,getService
deselects the item at the specified index   ,deselect
returns the location of the object on the screen   ,getLocationOnScreen
a convenience method to return a parameter as a short   ,getShortParameter
"called while a drag operation is ongoing , when the mouse pointer has exited the operable part of the drop site for the drop target registered with this listener   ",dragExit
this method returns a boolean indicating if the drop was successful   ,getDropSuccess
for window state changed events returns the new state of the window   ,getNewState
"deprecated as of jdk version 1 1 , replaced by get component atint , int   ",locate
returns a high precision bounding rectangle2d that completely encloses this area   ,getBounds2D
"returns the number of data elements needed to transfer a pixel with the get data elementsint , int , object , data buffer and set data elementsint , int , object , data buffer methods   ",getNumDataElements
checks to see if all images being tracked by this media tracker have finished loading   ,checkAll
prepares an image for rendering on this component   ,prepareImage
returns whether the specified container is the focus cycle root of this component ' s focus traversal cycle   ,isFocusCycleRoot
concatenates the current graphics2d transform with a translation transform   ,translate
gets the locale of the applet   ,getLocale
"this method is called by the current keyboard focus manager , requesting that this key event post processor perform any necessary post - processing which should be part of the key event ' s final resolution   ",postProcessKeyEvent
"returns the y offset of the tile grid relative to the origin , i e , the y coordinate of the upper - left pixel of tile 0 , 0   ",getTileGridYoFfset
"specifies , for jobs using these attributes , the last page inclusive to be printed , if a range of pages is to be printed   ",setToPage
