Functional Description,Method Name
returns an image which gets pixel data from the specified url   ,getImage
notifies this object that it is no longer the clipboard owner   ,lostOwnership
returns the audio clip object specified by the url and name arguments   ,getAudioClip
determines this check box ' s group   ,getCheckboxGroup
specifies the desired print resolution for pages using these attributes   ,setPrinterResolution
creates a text hit info whose character index is offset by delta from the char index of this text hit info   ,getOffsetHit
set the visible state of the object   ,setVisible
returns the justification information for this graphic attribute   ,getJustificationInfo
returns the paper size for pages using these attributes   ,getMedia
creates this toolkit ' s implementation of checkbox menu item using the specified peer interface   ,createCheckboxMenuItem
returns the event type   ,getId
compares this image graphic attribute to the specified image graphic attribute   ,equals
"introspect on a java bean and learn about all its properties , exposed methods , and events   ",getBeanInfo
returns whether the focus traversal policy has been explicitly set for this container   ,isFocusTraversalPolicySet
get the height of the pixel buffer after adjusting for image height   ,getHeight
the pixels of the image are delivered using one or more calls to the set pixels method   ,setPixels
extract the appropriate property value from the event and pass it to the action associated with this event handler   ,invoke
indicates whether or not this font can display the characters in the specified text starting at start and ending at limit   ,canDisplayUpTo
returns whether or not alpha is supported in this color model   ,hasAlpha
sets the vertical gap between components   ,setVgap
returns an array of all the objects currently registered as foo listeners upon this window   ,getListeners
returns the default graphics configuration associated with this graphics device   ,getDefaultConfiguration
"returns the "" best "" configuration possible that passes the criteria defined in the graphics config template   ",getBestConfiguration
returns whether the drawing buffer was lost since the last call to get draw graphics   ,contentsLost
"invoked by bean context services , this method releases a nested bean context child ' s or any arbitrary object associated with a bean context child reference to the specified service   ",releaseService
compares this image graphic attribute to the specified object   ,equals
"returns the width , in 1 / 72nds of an inch , of the imageable area of the page   ",getImageableWidth
returns an array of all the objects chained as foo listeners by the specified java util event listener   ,getListeners
deny knowledge about the class and customizer of the bean   ,getBeanDescriptor
returns the vertical gap between components   ,getVgap
returns the height of this paper object ' s imageable area   ,getImageableHeight
a convenience method to return a parameter as a float   ,getFloatParameter
a service provided by the nesting bean context has been revoked   ,serviceRevoked
returns the pixel stride of this component sample model   ,getPixelStride
this method is called by trusted subclasses of object output stream that constructed object output stream using the protected no - arg constructor   ,readObjectOverride
creates the menu item ' s peer   ,addNotify
replaces an object in the list of parameters with a character   ,set
"returns , for jobs using these attributes , the last page inclusive to be printed , if a range of pages is to be printed   ",getToPage
updates the text measurer after a single character has been deleted from the paragraph currently represented by this text measurer   ,deleteChar
"notifies the input method that a client component has been removed from its containment hierarchy , or that input method support has been disabled for the component   ",removeNotify
returns a similar alpha composite object that uses the specified compositing rule   ,derive
returns the set of focus traversal keys for a given traversal operation for this container   ,getFocusTraversalKeys
determines whether or not the specified angle is within the angular extents of the arc   ,containsAngle
gets an array containing all children of this bean context that match the types contained in arry   ,toArray
checks whether or not this font has uniform line metrics   ,hasUniformLineMetrics
